사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021080600100398,2021년 8월 6일 17시,금요일,서울특별시 은평구 녹번동,,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,77세,상해없음,보행자,남,41세,중상,"[193292.76096611, 456133.24044509]",EPSG:5181
2021080600100576,2021년 8월 6일 21시,금요일,서울특별시 강남구 논현동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,31세,기타불명,보행자,여,24세,경상,"[203066.26548001, 446597.51460726]",EPSG:5181
2021080600100598,2021년 8월 6일 22시,금요일,서울특별시 마포구 서교동,,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,27세,상해없음,보행자,여,20세,중상,"[192992.72490124, 449915.26472643]",EPSG:5181
2021080700100392,2021년 8월 7일 18시,토요일,서울특별시 강남구 역삼동,,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,36세,경상,승용,남,25세,상해없음,"[203287.48314156, 445255.16147602]",EPSG:5181
2021080800100057,2021년 8월 8일 08시,일요일,서울특별시 강남구 역삼동,,부상신고사고,0,0,0,1,차량단독 - 기타,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,26세,부상신고,,,,,"[203730.22418356, 445148.47095234]",EPSG:5181
2021080800100320,2021년 8월 8일 19시,일요일,서울특별시 금천구 독산동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,비,기타 - 기타,개인형이동수단(PM),남,42세,상해없음,보행자,남,25세,경상,"[190895.56473957, 441134.77726044]",EPSG:5181
2021080900100012,2021년 8월 9일 01시,월요일,서울특별시 강남구 도곡동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,기타,기타 - 기타,개인형이동수단(PM),기타불명,미분류,기타불명,승용,남,58세,상해없음,"[203710.31768543, 442869.46711565]",EPSG:5181
2021080900100458,2021년 8월 9일 18시,월요일,서울특별시 동작구 사당동,,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,37세,상해없음,보행자,여,48세,경상,"[197426.35868542, 442776.07114658]",EPSG:5181
2021081000100134,2021년 8월 10일 11시,화요일,서울특별시 서초구 우면동,,중상사고,0,1,1,0,차대차 - 측면충돌,기타,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,26세,중상,승용,여,33세,경상,"[202554.20733399, 441485.78616737]",EPSG:5181
2021081200100169,2021년 8월 12일 11시,목요일,서울특별시 양천구 신정동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,경상,화물,남,24세,상해없음,"[187978.20803295, 447584.726321]",EPSG:5181
2021081300100429,2021년 8월 13일 18시,금요일,서울특별시 강남구 역삼동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),여,32세,상해없음,보행자,여,29세,경상,"[204110.80336842, 444879.38611037]",EPSG:5181
2021081400100042,2021년 8월 14일 06시,토요일,서울특별시 송파구 잠실동,,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,24세,상해없음,자전거,여,73세,중상,"[208378.52538831, 445815.42497623]",EPSG:5181
2021081400100158,2021년 8월 14일 12시,토요일,서울특별시 송파구 석촌동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,19세,상해없음,자전거,여,61세,부상신고,"[209310.02832804, 444472.83568411]",EPSG:5181
2021081400100477,2021년 8월 14일 22시,토요일,서울특별시 마포구 합정동,,중상사고,0,1,0,0,차대사람 - 기타,신호위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,22세,상해없음,보행자,여,32세,중상,"[192188.0946706, 450352.15364553]",EPSG:5181
2021081500100050,2021년 8월 15일 07시,일요일,서울특별시 동작구 사당동,,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,24세,부상신고,승용,남,49세,상해없음,"[198058.43753733, 442242.2195483]",EPSG:5181
